Name,Score,Description
Spring Awakening,91,"A revival of the Tony Award-winning rock musical about teenagers discovering the tumult of sexuality, is presented by Deaf West, performed in both American Sign Language and spoken English."
Fatty Fatty No Friends,91,Mind The Art Entertainment presents a dark adult fable of an overweight kid who has had enough of being taunted by the other children and decides his best revenge is to eat them.
Beauty and the Beast,91,"Disney's adaptation of the Oscar-winning movie, featuring a young woman named Belle and a prince entrapped in the body of a Beast. "
Come From Away,91,This Broadway sleeper hit musical tells the heartwarming true story a tiny Canadian town that cared for thousands of grounded travelers in the wake of the 9/11 attacks.
Kristin Chenoweth: My Love Let...,91,"Tony and Emmy winner Kristin Chenoweth reunites with her greatest love—Broadway—in a strictly limited, 12‑performance concert."
Springsteen on Broadway,91,Legendary Grammy-winning singer-songwriter Bruce Springsteen comes to Broadway in a new autobiographical solo show.
Fiddler on the Roof,91,"Experience 'Fiddler on the Roof' in a new way – in Yiddish, the language of Tevye and his family. Oscar and Tony Award-winner Joel Grey directs this production, presented with English and Russian supertitles.
"
A Chorus Line,91,"City Center's 2018 Annual Gala Presentation is the classical musical ""A Chorus Line,"" a passionate tribute to dance and musical theater—two art forms that they have been bringing to New York audiences for 75 years.
"
Beautiful: The Carole King Mus...,90,The Tony and Grammy Award-winning Carole King musical tells the inspiring true story of one woman's remarkable journey from teenage songwriter to the Rock & Roll Hall of Fame.
The Book of Mormon,90,"From the creators of 'South Park,' a Tony Award-winning, bawdy, irreverent, hilarious, and heartfelt musical about two missionaries sent to deepest, darkest Africa to spread the good word."
The King and I,90,This glorious Lincoln Center Theater mounting of Rodgers and Hammerstein's classic won the 2015 Tony Award for Best Revival of a Musical.
Fun Home,90,"Based on Alison Bechdel's graphic-novel memoir, this Tony Award-winning musical  is about seeing your parents through grown-up eyes."
Something Rotten!,90,"After a laugh-filled run on Broadway and ten 2015 Tony Award nominations, this musical comedy about the very first musical kicks off its national tour at the Boston Opera House."
Sweeney Todd: The Demon Barber...,90,"This version of the classic Stephen Sondhein musical, starred Patti Lupone and Michael Cerveris, in a Broadway production that was originally staged in London in 2004."
La Cage aux Folles,90,"‘La Cage aux Folles’, the story of a gay couple who run a drag nightclub, is the only show that has been won The Tony Award for each of its Broadway productions in 1983, 2004, and 2010."
Monty Python's Spamalot,90,"Lovingly ripped off from ‘Monty Python and the Holy Grail’, this musical follows the plot of the cult classic while making fun of various Broadway tropes."
"Hello, Dolly!",90,"This Broadway revival of Jerry Herman's beloved musical was the winner of four 2017 Tony Awards, including Best Revival of a Musical. Now featuring returning stars Bette Midler, David Hyde Pierce, and Gavin Creel."
Nunsense,90,Harbor Lights Theater Company presents a revival of the wacky musical comedy—one of the longest running hits in Off-Broadway history.
Dandy Darkly's Myth Mouth!,90,"Satirist, storyteller, and cabaret artist Dandy Darkly presents his latest solo show, which explores religious extremism, chemical addiction, and our contemporary worship of media technology."
Brigadoon,90,"New York City Center presents Lerner and Loewe’s classic musical, which brings the mystery and magic of the Scottish Highlands to life. Starring Tony nominee Patrick Wilson and Tony winner Kelli O’Hara ('The King and…"
Addy &amp; Uno,90,"Through puppets and soaring music, this heartfelt and comic musical for families explores disability, kindness, and resilience."
Freestyle Love Supreme,90,"Conceived by Thomas Kail, Lin-Manuel Miranda, and Anthony Veneziale, this high-energy show is a blend of hip-hop, improvisational theater, music, and vocal stylings, all backed by live music from keyboards and beats."
Hadestown,90,This new Broadway musical by celebrated singer-songwriter Anaïs Mitchell and innovative director Rachel Chavkin is a love story for today…and always. 
Cabaret,89,Roundabout Theatre Company presents this revival of the Kander and Ebb classic set in Weimar Germany about a doomed love story between a cabaret star and a writer.
In The Heights,89,Harlem Repertory Theatre revives Lin-Manuel Miranda's Tony Award-winning musical in an intimate and expressionistic new production. 
The Gershwins' Porgy and Bess,89,"A re-staging of the original opera, with a new book adapted by Susan Lori Parks, this production starring Audra McDonald, was nominated for 10 Tony Awards."
The Gruffalo,89,"Having delighted British audiences with their musical adaptation of the award-winning book, children's theater Tall Stories comes to New Victory with sing-along songs, slapstick comedy and scary fun for little ones. "
Hairspray,89,"'Hairspray', based on the 1988 film of the same name, is the story of a young girl in Baltimore, who uses dance to find fame and friendship."
She Loves Me,89,"Roundabout Theatre Company presents a revival of the Tony Award-winning musical about two clerks who argue endlessly, while unknowingly writing loving letters to each other as anonymous pen pals. "
Ragtag Theatre’s Cinderella,89,"Ragtag Theatre Company presents an encore run of this musical romp inspired by 'Cinderella,' done in the style of commedia dell'arte. Formerly known as 'The Commedia Cinderella.'"
The Wiz,89,"New York Black Arts presents a family-friendly revival of the Tony-winning musical, an all-African-American re-imagining of 'The Wizard of Oz.'"
Sweeney Todd: The Demon Barber...,89,Tooting Arts Club's immersive staging of Sondheim and Wheeler’s iconic musical thriller transfers from London to NYC's Barrow Street Theatre. Now starring Tony nominee Carolee Carmello.
42nd Street,89,"The Heights Players present a revival of this quintessential backstage musical, featuring iconic songs such as ""Shuffle Off to Buffalo,"" ""Lullaby of Broadway,"" and the title tune."
Ragtime,89,The Gallery Players presents a revival of this musical portrait of early-20th-century NYC featuring intersecting stories of three families pursuing the American Dream. Based on E. L. Doctorow's acclaimed novel.
Alligator Pie,89,"Canada's Soulpepper Theatre Company presents a family musical inspired by the poems of Dennis Lee, best known to U.S. audiences as the lyricist for 'Fraggle Rock.' "
Jersey Boys,88,"The hit musical about Frankie Valli and the Four Seasons, which won four Tony Awards including Best Musical, and ran for over 11 years on Broadway, is revived Off-Broadway."
Kinky Boots,88,"This Tony-winning Best Musical, about a shoemaker whose business is saved by a wildly flamboyant clientele, features a score of catchy songs written by pop star Cyndi Lauper."
Avenue Q,88,"Broadway's 2004 Tony Award winner for Best Musical continues its hilarious, puppet-filled run Off-Broadway at New World Stages. "
Into The Woods,88,Roundabout Theatre Company presents the acclaimed McCarter and Fiasco Theater production of the musical classic in their signature stripped-down style.
The Berenstain Bears Live!,88,"Adapted from the classic children's book series by Stan and Jan Berenstain, 'The Berenstain Bears LIVE! in Family Matters, the Musical' brings the bear family to theatrical life. "
Fiddler On The Roof,88,"Directed by Tony award winner Bartlett Sher, this new Broadway revival of Bock & Harnick's classic musical follows Jewish milkman Tevye, who strives to maintain ""Tradition"" as his daughters fall in love."
Billy Elliot: The Musical,88,"This Tony Award winner is based on the 2000 movie, with music by Elton John. "
Once,88,"Based on the 2007 film of the same name, this play premiered at the New York Theatre Workshop before transferring to Broadway."
South Pacific,88,"The revival of the classic Rodgers and Hammerstein musical, starring Kelli O’Hara, tells the story of a nurse stationed on a Pacific island during World War II."
Follies,88,All of life's might-have-beens take center stage as two couples rehash past times and favorite songs amid the crumbling magnificence of their old theater.
Memphis,88,"This musical tells the story of the beginnings of Rock n' Roll. It won four Tony Awards in 2010, including Best Musical."
Pippin,88,"This 2013 revival, inspired by circus and directed by Diane Paulus, received ten Tony Award nominations, winning several, including Best Revival of a Musical."
Steve: A Docu-Musical,88,New York NeoFuturists presents the world premiere of this musical based on the real-life online collaboration between New York and Australian musicians.
A Chorus Line,88,A musical about auditions for an unnamed Broadway musical and the dancers who want to get in.
Flight School The Musical,88,"Based on the children's book of the same name, Vital Theatre's new musical is about a penguin who goes to flight school to learn how to fly."
A Chorus Line,88,"For the 40th anniversary of its Broadway debut, The Secret Theatre presents this classic story of chorus dancers auditioning for a shot at their dreams."
In the Heights,88,"The Gallery Players presents a revival of Lin-Manuel Miranda's Tony-winning musical, a love letter to Washington Heights."
At the Crossroads: Music for F...,88,"Part of FringeNYC: A live film score to the 1926 silent film ""Faust"". A beautifully restored projection to open your mind to the art of early film production and mesmerizing, composed music to open your heart to an…"
More Than All the World,88,"This epic, historical musical was inspired by Christopher Marlowe's 1593 play, 'Edward II.' "
Sunday in the Park with George...,88,City Center's revival of Stephen Sondheim and James Lapine's Pulitzer Prize-winning musical comes to Broadway starring Jake Gyllenhaal and Tony winner Annaleigh Ashford.
Anything Goes,88,Musicals Tonight! brings back its revival of Cole Porter's madcap musical comedy set upon an ocean liner heading from New York to London. 
My Fair Lady,88,"Lincoln Center Theater revives Lerner and Loewe’s iconic musical in a production directed by Tony winner Bartlett Sher and starring Laura Benanti, Harry Hadden-Paton, Danny Burstein, and Rosemary Harris."
Once On This Island,88,The joyous musical returns to Broadway with its story of a fearless young dreamer in post-storm Haiti. Winner of the 2018 Tony award for Best Revival of a Musical.
Generation Me,88,"Part of the New York Musical Festival: This new musical explores the heartbreak, confusion, and survivor’s guilt of those left behind after a teen's suicide."
True North: A Concert of Canada,88,"Pegged to Canada’s 150th birthday (July 1, 2017), Soulpepper's concert uses beloved Canadian songs to explore the nation's values."
Finding Neverland,88,"Direct from Broadway, this touring musical is based on the film of the same name about the man behind Peter Pan, as he summons the courage to become the writer–and the man–he yearns to be."
Ghost Quartet,88,"New York Theatre Workshop presents this surreal chamber musical from Dave Malloy ('Natasha, Pierre & The Great Comet of 1812') in which murder ballads, doo-wop, jazz noise, and raucous campfire drinking songs collide."
America is Hard to See,88,"Using a blend of interviews, archival research, Methodist hymns, and original songs, this new play investigates the lives in and around a rural community for sex offenders, buried deep in Florida's sugarcane fields."
Red Emma &amp; The Mad Monk,88,"Mystics, anarchists, and snowflakes swirl in this new Russo-American cabaret-style musical about Emma Goldman, Rasputin, and a 12-year-old American girl who's obsessed with both of them and can't get off Twitter."
"Vivian's Music, 1969",88,"Inspired by real events, this fantasia for two actors imagines life of the unknown 14-year-old black girl whose death at the hands of a white cop that ignited one of the worst race riots in American history."
A Gentleman’s Guide To Love &amp; ...,87,"Recipient of the Tony Award for Best Musical, about a charming scoundrel with noble aspirations and the eight relatives who stand in his way (all played by the same person)."
The Phantom of the Opera,87,In this classic musical - the longest running in Broadway history - a hideously deformed man lives in the cellars of the Paris Opera and takes a beautiful soprano as a student. 
Anything Goes,87,"This production of the classic Cole Porter musical starred Sutton Foster, winning multiple Tonys including Best Leading Actress and Best Revival of a Musical."
Hair,87,"Directed by Diane Paulus, this Tony Award winning musical features everything essential about the 60's; rock, drug use, and nudity."
The Drowsy Chaperone,87,"A parody of 1920's Broadway shows, this musical was nominated for multiple Tony and Drama Desk Awards, eventually winning five Tony Awards and seven Drama Desk Awards."
Waitress,87,"Inspired by the film of the same name, the Broadway musical ""Waitress"" features songs by Grammy nominee Sara Bareilles."
Mame,87,The Heights Players present this revival of the Broadway classic about the adventures of a wealthy single woman and her nephew during the Great Depression.
Hadestown,87,New York Theatre Workshop presents a folk opera based on the 'Orpheus' myth using songs from Anaïs Mitchell's concept album of the same name. 
Hello Dillie!,87,"Part of 59E59's Brits Off Broadway fest, this solo show by comedic singer/songwriter Dillie Keane (of Fascinating Aïda fame) features new tunes and old favorites that showcase her quirky take on life."
Mr. Popper's Penguins,87,Kenny Wax Family Entertainment and TC Beech present a musical adaptation of the beloved children's novel about a married couple who end up adopting a pack of penguins.
Mother Emanuel,87,A FringeNYC Encore: Rebel Theater Company presents a new musical that celebrates the lives of the late Charleston 9.
A Charlie Brown Christmas Live,87,"For the eighth year in a row, families are invited to join the Peanuts gang at this live stage adaptation of the classic animated TV special, featuring Charlie and all his pals."
Found,87,"Philadelphia Theatre Company presents a musical comedy inspired by Davy Rothbart's popular 'Found' magazine and books, about the things we've lost and the ways they bring us together."
The Little Mermaid,87,"This Disney Theatrical-produced Broadway musical, based on the beloved 1989 animated film, tells the story of a mermaid princess who falls in love with a human and wants to be 'part of their world.'"
"Grand Hotel, The Musical",87,"New York City Center's Encores! presents a new staging of the 1989 Broadway hit, a kind of fever dream of life at the end of the Weimer Era at Berlin’s most glamorous crossroads."
Me and My Girl,87,"Encores! brings this delightfully old-fashioned musical comedy to New York for the first time in nearly 30 years, in a new staging starring Christian Borle ('Peter and the Starcatcher') and Laura Michelle Kelly ('Mary…"
As You Like It,87,"The Public Theater presents a free outdoor musicalization of Shakespeare's comedy, a dreamlike tale of faithful friends, feuding families, and lovers in disguise."
Desperate Measures,87,"After a hit run at the York Theatre, this madcap, wild musical, set in the Old West and inspired by Shakespeare's 'Measure for Measure,' re-opens at New World Stages for an open-ended run."
Carmen Jones,87,"Using the score from Bizet’s opera 'Carmen,' this adaptation by Oscar Hammerstein II resets the story with an all African-American cast. CSC's presents the first major New York revival since its Broadway debut."
Distorted Diznee,87,This long-running late night spectacle is an outrageous Las Vegas-style drag revue parody of some of America's most beloved animated classics. 
The Hello Girls,87,"From New York to Paris, from ragtime to jazz, an ensemble of actor-musicians chronicles the story of America's first women soldiers in a new musical by Prospect Theater Company.
"
All is Calm: The Christmas Tru...,87,"Through new arrangements of European carols and war-songs, ""All Is Calm"" recalls the remarkable World War I truce between Allied Forces and German soldiers in No Man's Land on Christmas, 1914."
Aladdin,86,"Disney presents the stage adaptation of its animated blockbuster, featuring the hit songs from the film, plus several more written for Broadway."
Rock of Ages,86,The popular 1980s power rock ballad musical about two young lovers trying to make it in 1980s Los Angeles music scene.
Evita,86,The Andrew Lloyd Webber and Tim Rice musical about the life of Argentine political leader Eva Perón.
The 25th Annual Putnam County ...,86,"This musical comedy is based on C-R-E-P-U-S-C-U-L-E, an original improvisational play created by Rebecca Feldman about a middle school spelling bee."
Annie,86,"Original lyricist and director Martin Charnin directs this brand new incarnation of the iconic musical about an orphan and her search to find her parents, featuring famous songs such as ""It's a Hard Knock Life."""
Godspell,86,"The Gallery Players present the 1970s folk-rock musical, a series of Christian parables and the story of Jesus."
Nutcracker Rouge,86,Company XIV brings back its modern riff on the classic holiday tale that's a hedonistic fusion of nightlife and theater.
A Christmas Carol - A New Musical,86,"A present day telling of the Christmas classic, this new musical adaptation stars a multi-generational cast and is presented by Orama Theatrical Enterprises and The School of Singing. "
Funny Face,86,Musicals Tonight! revives George and Ira Gershwin's 1927 musical comedy. Note: The plot is totally different from the 1957 movie musical of the same name.
La Cancion: The Musical,86,Repertorio Español presents an inspiring musical about the power of song and self-discovery.
Sing! A South African and Amer...,86,Obie-winning South African performer Thuli Dumakude (a longtime Rafiki in Broadway's 'The Lion King') leads an international ensemble of female singers in this multicultural holiday celebration.
Christmas Spectacular Starring...,86,Radio City Music Hall presents its annual holiday extravaganza featuring the legendary Rockettes.
¡Figaro!,86,"The Duke on 42nd Street presents an encore run of this modern riff on Mozart's 'The Marriage of Figaro,' which recasts the opera as a madcap comedy about citizenship in today's America."
Bells are Ringing,86,"Musicals Tonight presents this 1956 musical romantic comedy 
which follows the exploits of Ella, a telephone answering service operator with a fascination for her client’s private lives."
6 Guitars,86,"Part of Soho Playhouse's Fringe Encore Series: In this solo performance Chase Padgett becomes six different guitar players, each with his own distinct voice, views, and musical style."
Follies,86,"Astoria Performing Arts Center presents Stephen Sondheim's classic musical where, before their former theater is demolished, the former ""Weismann Follies"" showgirls reunite to say goodbye. "
Animal Wisdom,86,"The Bushwick Starr and West Yorkshire Playhouse present the world premiere of this music-theater piece: a lo-fi, idiosyncratic, folk-blues requiem written from theoretical or actual (you decide) conversations with the…"
Smokey Joe’s Cafe: The Songs o...,86,"An all-new incarnation of the record-breaking Broadway hit revue celebrates the best songs of the legendary song writing duo, Jerry Leiber and Mike Stoller."
Songs for a New World,86,"The first musical by Tony Award-winner Jason Robert Brown comes to Encores! Off-Center. A collection of songs examining life, love, and the choices ordinary people make when faced with extraordinary moments."
A Chorus Line,86,"This musical classic is a celebration of those unsung heroes of the Broadway musical: the chorus dancers–those valiant, underpaid, highly trained performers who live in the background of the limelight."
Rags Parkland Sings The Songs ...,86,Ars Nova presents this world premiere sci-fi folk concert set 250 years in the future. 
Beep Boop,86,Crowded Outlet's encore production is a dark and whimsical multimedia clown show created by physical comedian Richard Saudek.
Night of the Living Dead! the ...,86,This new rock n' roll musical offers a sendup of the legendary 1968 zombie film.
Mamma Mia!,85,"This lively pop musical, featuring the songs of '70s Swedish super-group ABBA, will close in September following more than a decade of nightly standing ovations."
Matilda,85,"The Royal Shakespeare Company's adaptation of Roald Dahl's beloved children's book, 'Matilda' is the story of an extraordinary girl who dares to take a stand and change her own destiny."
Ham - a Musical Memoir,85,An autobiographical solo-musical starring Tony award winner Sam Harris about his rich and varied life on the boards. 
On Your Feet!,85,"'On Your Feet!' tells the story of Gloria Estefan and her husband, and how two people who believed in their talent, their music and each other created an international sensation."
School of Rock - The Musical,85,"Based on the hit Jack Black film, this musical comedy features songs by 'Jesus Christ Superstar' composer Andrew Lloyd Webber."
Old Hats,85,Signature Theatre revives its hit multimedia clown show featuring Bill Irwin and David Shiner.
The Golden Bride,85,National Yiddish Theatre Folksbiene presents one of the most popular operettas of the Roaring Twenties about a beautiful young woman named Goldele. Presented in Yiddish with English and Russian supertitles. 
"Natasha, Pierre &amp; The Great Co...",85,"Inspired by a 70-page slice of Tolstoy’s 'War and Peace,' this immersive, Off-Broadway hit transfers to the Main Stem."
Red Devil Moon,85,"Part of FringeNYC: The scent of boiling cane, a magical night, love at risk in the Jim Crow South. Inspired by Jean Toomer's modernist novel, Cane. A performance featuring music and narration from the forthcoming…"
Walken On Sunshine,85,"Part of FringeNYC: An anxiety-ridden filmmaker accidentally lies to investors about having Christopher Walken in his movie and embarks on a ridiculous quest to get Walken. Neuroses, quirky love, bad guys and cowbells…"
In a Pickle,85,"Oily Cart presents a multi-sensory show for very young audiences inspired by Shakespeare’s 'The Winter’s Tale.' Running at BAMkids in April, Lincoln Center Kids in May."
Gypsy,85,"The Gallery Players present Stephen Sondheim and Jule Styne’s classic musical about backstage mama Rose and her daughter Louise, who triumphantly emerges from her mother's shadow to become a star."
Raisin,85,"Astoria Performing Arts Center presents NYC's first full-fledged revival of this 1974 Best Musical Tony winner, based on Lorraine Hansberry’s groundbreaking play 'A Raisin in the Sun.'"
Diva: Live from Hell,85,Theater for the New City presents Sean Patrick Monahan's solo musical about a homicidal teenage diva doomed to retell his story for all eternity as a cabaret act in Hell.
Woody Sez: The Life &amp; Music of...,85,"Irish Repertory Theatre presents a toe-tapping musical exploration of the fascinating, beautiful, and sometimes tragic life of American folk legend Woody Guthrie."
Backbeard: The New Musical,85,"Part of the New York Musical Festival: This rollicking musical tells the tale of Backbeard, the hairiest pirate who ever lived, and his quest to answer the question, ""How should a pirate look?"" "
Power Over POTUS,85,Erica Vlahinos' raunchy comedy-cabaret explores the history of sexploits at the White House.
Counting Sheep,85,"After a successful international festival run, this Ukrainian guerrilla folk-opera comes to New York. An immersive theatrical experience that brings audiences inside the heart of the 2013-2014 Ukrainian revolution."
Twelfth Night,85,The Public Theater's Free Shakespeare in the Park presents a re-imagining of Public Works’ 2016 musical adaptation of 'Twelfth Night.'
Lysistrata Jones,85,"Ophelia Theatre Group presents an immersive take on this fun, feminist musical about a determined cheerleader who leads the students around her in a battle of the sexes."
Cinderella,85,The Broadway production of Rodgers and Hammerstein's musical offers a surprisingly contemporary take on the classic tale. Featuring a new book by Douglas Carter Beane.
The Apple Boys: A Barbershop Q...,85,This world premiere musical explores the uniquely American art form of the barbershop quartet.
The Nature of Forgetting,85,"Through intricate choreography and a cinematic live musical score, London-based Theatre Re creates a narrative of heartwarming humanity."
If/Then,84,Idina Menzel stars in a new Broadway musical from the team that created 'Next to Normal' that explores two possible lives of a recent NYC divorcee.
Sistas - The Musical,84,"A new musical that tells the story of African-American women through Top-40 music from the '30s through the '90s, including hits like ""Oh, Happy Day,"" ""Mama Said"" and ""I Will Survive."""
An American in Paris,84,"A new dance musical based on the classic 1951 film, telling the romantic story of a young American soldier, a beautiful French girl and an indomitable European city."
Allegiance,84,"George Takei and Lea Salonga star in a new musical inspired by Takei's childhood, about a family recovering from the imprisonment of Japanese Americans during World War II."
Cagney,84,"'Cagney' follows the actor from his humble beginnings through his rise as a vaudeville song-and-dance man, to his superstardom in Hollywood."
Daddy Long Legs,84,"Based on the 1912 novel of the same name by Jean Webster, 'Daddy Long Legs' is about Jerusha Abbott, the oldest orphan in the John Grier Home and the mysterious benefactor who sends her to college to be a writer."
Cinderella,84,"Company XIV presents a Baroque-Burlesque creation based on the classic fairy tale 'Cinderella,' using theatre, dance, live music, circus, opera and erotic design. For ages 21 and over."
The Band's Visit,84,"Based on the film of the same name, Atlantic Theater Company's critically acclaimed musical by songwriter David Yazbek was the winner of ten 2018 Tony Awards, including Best Musical."
The First Noel,84,"After its 2015 premiere, the Classical Theatre of Harlem brings back its original holiday musical, which tells a universal story of love in a variety of song styles."
1776,84,Encores! concert version of the Tony Award-winning musical about the birth of our nation features TV stars Santino Fontana and John Larroquette as founding fathers.
Falsettos,84,"Two-time Tony Award winner Christian Borle stars in Lincoln Center Theater's Broadway revival of William Finn's groundbreaking musical about a gay man, his wife, his son, his lover, and their psychiatrist."
Spamilton,84,"A satirical musical about the biggest hit on Broadway, written and directed by Gerard Alessandrini, the funnyman behind 'Forbidden Broadway.' "
Marie and Rosetta,84,"Atlantic Theater Company presents the world premiere of George Brant's play about music legend Sister Rosetta Tharpe's collaboration with Marie Knight, which culminated in a career-defining tour."
The Cleaning Guy,84,A FringeNYC Encore: Emerging Artists presents the hilarious journey of one man's dealings with the dirty secrets of NYC apartment dwellers.
The Legend of Oni,84,"Part of FringeNYC: We'll take you to the pre Samurai world. The world of Onis, which are Japanese ogres. Onis with a human heart or a human turned to an Oni... Be lost in the beautiful Japanese old world with wonderful…"
The Unusual Tale of Mary &amp; Jos...,84,"Part of FringeNYC: The Unusual Tale of Mary & Joseph’s Baby: There really is a pregnant virgin, shepherds, angels, foreign dignitaries, a ratty inn and a bloodthirsty dictator whose menacing shadow hangs over everything…"
"Tick, Tick ... Boom!",84,"Keen Company revives this autobiographical musical by Jonathan Larson, the Pulitzer Prize and Tony Award-winning creator of 'Rent.'"
Miss Saigon,84,Cameron Mackintosh’s new Olivier Award-nominated revival of this classic musical romance comes to Broadway for a limited engagement.
I Like It Like That - A Musical,84,"Puerto Rican Traveling Theater presents a new tuner about family and music in '70s New York, starring salsa sensation Tito Nieves. Part of Teatro Fest NYC 2016."
Piaf and Brel: The Impossible ...,84,"A Fringe Encore: Internationally acclaimed vocalist Melanie Gall croons the iconic hits of Edith Piaf and Jacques Brel, two of France's most legendary singers. A hit at the 2016 Edinburgh Festival Fringe."
A Harlem Christmas Carol,84,Harlem Repertory Theatre presents its adaptation of Charles Dickens' holiday classic set in modern-day Harlem.
"Jack of Hearts, Master of None",84,Mind the Art Entertainment presents the world premiere of this modern operetta about a chronic gambler and the seven women who shaped his life.
Georama: An American Panorama ...,84,Part of the New York Musical Festival: In the 1850s John Banvard did more to elevate fine arts than any single American artist before him. This new musical tells his story.
Annie,84,"The Gallery Players presents the beloved musical adventure about a lovable spirited orphan, based on the popular comic strip by Harold Gray, and famous for its classic songs such as 'Tomorrow' and 'It's a Hard Knock…"
My Perfect Pet,84,"In this new musical for young audiences, a little girl pines for the perfect pet puppy."
Fruit Flies Like a Banana: Wor...,84,"Part of Soho Playhouse's Fringe Encore Series: The multi-talented performers of the hybrid arts ensemble The Fourth Wall combine music, theater, and dance for a virtual global tour."
The Prom,84,"This new Broadway musical comedy centers around four fading stars, whose desperate need of a new stage leads them to protest a small-town prom. Directed by Tony Award winner Casey Nicholaw ('Book of Mormon.')"
"Kiss Me, Kate",84,Tony winner Kelli O'Hara returns to Broadway in the Roundabout's production of Cole Porter’s sparkling 1948 musical riff on Shakespeare's 'Taming of the Shrew.'
[title of show],84,The Secret Theatre presents the first Off-Off Broadway production of this Tony-nominated meta-musical comedy.
"Don't Bother Me, I Can't Cope ...",84,"Encores! Off-Center
 presents this 1971 musical, a celebration of African-American culture and community, directed and choreographed by Tony Award-winner Savion Glover (Bring in 'Da Noise, Bring in 'Da Funk)."
Unbeatable the Musical,84,"Driven by her over-scheduled, overachieving life, Tracy Boyd encounters an unexpected medical diagnosis in this new musical. A one-night concert reading with a portion of the proceeds benefiting The Phyllis Newman…"
Dave,84,"From a Tony and Pulitzer Prize Award-winning creative team, comes this world premiere musical comedy, adapted from the Oscar-nominated film. Directed by Tina Landau ('SpongeBob SquarePants')."
Inner Voices 2018,84,The 2018 biennial series includes three dramatic and intimate one-act solo musicals.
Rap Guide to Evolution,84,"Baba Brinkman presents a hip-hop tour of modern evolutionary biology, winner of the Scotsman Fringe First Award in Edinburgh and nominated for a Drama Desk Award off-Broadway."
Unfolding,84,"This puppet theatre production offers a contemporary fairytale that magically transports the audience through space and time, capturing the journey of a woman as she navigates a life of self-discovery. 
"
Chicago,83,"A long-running revival of Kander and Ebb's gritty, satirical musical about lust, treachery, and murder among chorus girls in '20s Chicago."
Motown: The Musical,83,"This Broadway musical tells the story behind some of Motown's most famous songs, featuring Marvin Gaye, Diana Ross, Smokey Robinson, and the Temptations. Now returning for a limited 18-week engagement."
Disenchanted,83,"An adult musical comedy where a group of Disney princesses, none too happy with the exploitation they've suffered in books and movies, are storming the castle to take their lives back!"
"Peace, Love, and Cupcakes: the...",83,Part of the New York Musical Festival: This musical based on by Sheryl and Carrie Berk bestselling young adult chapter book originated at Vital Children's Theatre.
Stomp,83,This family-friendly percussion show has been a part of New York's theatre scene since 1994 and uses everyday objects to celebrate the power of rhythm and the sheer joy of banging on things.
Finding Neverland,83,This new musical based on the 2004 film tells the fascinating story of how Peter became Pan.
On the Twentieth Century,83,Tony winner Kristin Chenoweth and Golden Globe winner Peter Gallagher star as a temperamental actress and an egomaniacal impresario in a revival of the Tony-winning musical comedy.
